sender_upi_id,income_stability,txn_freq_norm,network_centrality,nsf_frequency,time_to_zero_norm,debt_to_income,affordability_index,bill_payment_latency,default
aaronbautista@oksbi,0.5236525736665923,0.09,0.18,0.0,0.0,0.149816047538945,0.704247357918816,-10.0,0
aaronbolton@oksbi,1.2875872267280657,0.09,0.18,0.0,0.0,0.3802857225639665,0.47051551470647895,2.4089577721452695,1
aaronbrown@ybl,0.45463532514826915,0.08,0.16,0.0,0.0,0.292797576724562,0.6882772432351963,2.9641439450933658,0
aaronburton@okaxis,0.4412688312260328,0.07,0.14,0.0,0.0,0.23946339367881464,0.5722088777919664,-9.412719929554193,0
aaroncarrillo@ybl,0.7813497616547702,0.11,0.22,0.0,0.0,0.06240745617697461,0.7367771121325304,12.624191810399328,0
aaronclark@okaxis,0.8391407163447094,0.13,0.26,0.0,0.0,0.062397808134481064,0.8016977201852303,4.430079038173124,0
aarondonovandvm@ibl,0.5578493847974115,0.06,0.12,0.0,0.0,0.023233444867279785,0.7609100210557161,-1.2451171604101763,0
aaronfrank@upi,0.4761274874387328,0.09,0.18,0.0,0.0,0.3464704583099741,0.49861650909076294,10.326897137492592,0
aarongarcia@oksbi,1.1843671231259731,0.07,0.14,0.0,0.0,0.24044600469728353,0.6682022825013885,-5.978066103211583,1
aarongonzales@upi,0.7634602827339745,0.1,0.2,0.0,0.0,0.2832290311184182,0.5208623082732957,-3.145855167591586,1
aaronhall@upi,0.1364776804534514,0.03,0.06,0.0,0.0,0.008233797718320978,0.7115429867457418,-8.497277618349493,0
aaronjohnson@ibl,0.6927976228404399,0.13,0.26,0.0,0.0,0.38796394086479774,0.49677350444383256,12.00522598269667,0
aaronmalone@upi,0.4113017000286863,0.06,0.12,0.0,0.0,0.3329770563201687,0.6111259783312581,4.661731857360017,0
aaronmercado@oksbi,0.6742773203841609,0.08,0.16,0.0,0.0,0.08493564427131046,0.7928502156542445,6.297008949242475,0
aaronmyers@ybl,0.5344874221456389,0.08,0.16,0.0,0.0,0.07272998688284026,0.7667252097206503,4.505006169592379,0
aaronosborne@upi,0.4047582411518468,0.06,0.12,0.0,0.0,0.07336180394137352,0.8059208399081625,5.868838805722923,0
aaronpage@ibl,0.607264202493658,0.07,0.14,1.0,0.5,0.1216968971838151,0.7111053238412549,3.3903885694799474,0
aaronpeterson@oksbi,0.45742129778362917,0.06,0.12,0.0,0.0,0.20990257265289514,0.7749622425165731,4.354606713537207,0
aaronrussell@ybl,0.37484610246185407,0.14,0.28,0.0,0.0,0.17277800745684632,0.5926809547580801,3.538017181114754,0
aaronsmith@ibl,0.6109428165923249,0.12,0.24,0.0,0.0,0.11649165607921677,0.7969399378789532,-0.042959027846392495,0
aaronsmith@upi,0.509029627647733,0.09,0.18,0.0,0.0,0.2447411578889518,0.7306259235071706,2.7668761739266543,0
aaronsmith@ybl,0.7008611917070178,0.06,0.12,0.0,0.0,0.055797544260816734,0.8886506938531296,4.3679728663083885,1
aaronsnyder@ybl,0.2685639021232995,0.06,0.12,0.0,0.0,0.11685785941408727,0.6669598164444966,3.552745597760654,0
aaronspencer@ybl,0.968004287434738,0.1,0.2,0.0,0.0,0.1465447373174767,0.673186653848862,-4.388860538766585,0
aaronthomas@ybl,0.5278012638867523,0.09,0.18,0.0,0.0,0.1824279936868144,0.7481719009806804,-3.7249333430420464,0
aarontorres@ibl,0.8887029987968215,0.06,0.12,1.0,0.5,0.3140703845572055,0.4974918324855596,8.414207169581957,1
aaronwashington@okaxis,0.528172436450162,0.1,0.2,0.0,0.0,0.0798695128633439,0.868196951402024,1.465029770582991,0
aaronwhite@oksbi,0.9466616004529307,0.2,0.4,0.0,0.0,0.20569377536544464,0.7273240355539671,5.9236267351797025,0
aaronwilliams@okaxis,0.5426545751999269,0.07,0.14,0.0,0.0,0.236965827544817,0.7011383624637546,-2.460599548611982,0
abigailclark@upi,1.0241925276466375,0.06,0.12,0.0,0.0,0.01858016508799909,0.7165075451562123,-4.36572938323265,0
abigaildodson@oksbi,0.5877265609423257,0.07,0.14,0.0,0.0,0.24301794076057537,0.6928869980443377,-1.2179830626585648,0
