transaction_id,timestamp,hour_of_day,day_of_week,is_weekend,amount,txn_type,merchant_category,sender_name,sender_upi_id,sender_bank,sender_age_group,sender_state,receiver_name,receiver_upi_id,receiver_bank,device_type,network_type,fraud_flag
9d229327-7282-4b52-b2f5-5923ae84f451,2025-10-02 00:23:10.530474,0,Thursday,0,12.05,P2P,Peer,Ryan Wallace,ryanwallace@ybl,HDFC Bank,36-45,Karnataka,Katherine Bell,katherinebell@ibl,ICICI Bank,Android,4G,0
51380fac-af6a-4aa6-bac3-b9f5ae5bad70,2025-12-18 12:40:19.036840,12,Thursday,0,71.43,P2P,Peer,Veronica Thomas MD,veronicathomasmd@ibl,Punjab National Bank,26-35,Tamil Nadu,Jack Haynes,jackhaynes@ybl,HDFC Bank,Android,WiFi,0
4e9ce7bd-4d18-40a7-a8a7-7d335f2c9e2d,2025-07-27 20:42:31.984221,20,Sunday,1,177.6,P2P,Peer,Whitney Garrett,whitneygarrett@upi,HDFC Bank,26-35,Maharashtra,Nicholas Cooper,nicholascooper@ibl,ICICI Bank,Android,WiFi,0
9a9f3c9e-d4f9-4274-85f4-236beb5f37d8,2025-03-24 23:44:41.878196,23,Monday,0,202.04,P2P,Peer,Nicole Khan,nicolekhan@upi,Axis Bank,26-35,Gujarat,William Jones,williamjones@ybl,Axis Bank,iOS,WiFi,0
4b74c468-4497-4011-ba46-cdbe7e4657e2,2025-08-23 21:55:47.056047,21,Saturday,1,898.63,P2P,Peer,Amanda Carr,amandacarr@okaxis,Punjab National Bank,26-35,Maharashtra,Kaitlyn Rios,kaitlynrios@ybl,Kotak Mahindra Bank,iOS,5G,0
a9a8a432-e856-4bdc-b259-1307c9acb9d1,2025-01-10 13:21:47.567403,13,Friday,0,278.55,P2M,Grocery,Daniel Shaw,danielshaw@okaxis,HDFC Bank,26-35,Maharashtra,"Serrano, Smith and Chapman","serrano,smithandchapman@upi",Canara Bank,Android,WiFi,0
90878b43-9925-4e8f-9f60-bbe4681aad95,2025-10-20 03:17:22.744125,3,Monday,0,2.35,P2P,Peer,Timothy Reed,timothyreed@ibl,ICICI Bank,18-25,Karnataka,Mr. David White DDS,mr.davidwhitedds@upi,Punjab National Bank,Android,5G,0
8ac378fd-d2d6-41d0-89a7-da448542bb7d,2025-01-23 17:08:40.745836,17,Thursday,0,151.02,P2P,Peer,Samantha Wright,samanthawright@oksbi,Kotak Mahindra Bank,26-35,Uttar Pradesh,Nicole Harris,nicoleharris@ibl,HDFC Bank,Android,4G,0
bca6f00d-3a75-4ac3-a3c3-eeae11f00eed,2025-02-19 21:31:51.261797,21,Wednesday,0,86.84,P2P,Peer,Holly Williams,hollywilliams@oksbi,HDFC Bank,26-35,Maharashtra,Edward Mckee,edwardmckee@ybl,HDFC Bank,iOS,4G,0
30f0729c-09b5-4820-b45f-2aa8fe7c4ba4,2025-03-27 17:43:57.828814,17,Thursday,0,41.48,P2P,Peer,Michael Friedman,michaelfriedman@ybl,Bank of Baroda,26-35,Tamil Nadu,Kristopher Downs,kristopherdowns@okaxis,ICICI Bank,Android,WiFi,0
