transaction_id,timestamp,hour_of_day,day_of_week,is_weekend,amount,transfer_ratio,txn_type,merchant_category,sender_name,sender_upi_id,sender_bank,sender_age_group,sender_state,receiver_name,receiver_upi_id,receiver_bank,device_type,network_type,fraud_flag
e4602377-ae01-469a-8ff4-b3e62dd22292,2025-12-16 14:59:47.956404,14,Tuesday,0,6405.83,0.067,P2M,Travel,Robert Jones,robertjones@ibl,HDFC Bank,26-35,Maharashtra,"Santos, Stewart and Wood","santos,stewartandwood@oksbi",State Bank of India,Android,4G,0
eff5e5e5-a293-408c-8535-94658bd536e1,2025-04-25 19:10:02.785275,19,Friday,0,193.35,0.001,P2M,Food Delivery,Chelsea Robinson,chelsearobinson@oksbi,State Bank of India,36-45,Maharashtra,"Shannon, Strong and Davis","shannon,stronganddavis@oksbi",State Bank of India,Android,WiFi,0
b6caf959-fd78-42c1-84b4-3f471fd1e92c,2025-03-13 11:15:02.775239,11,Thursday,0,6399.11,1.0,P2P,Peer,Russell Thompson,russellthompson@okaxis,State Bank of India,26-35,Uttar Pradesh,April Peters,aprilpeters@ibl,State Bank of India,Android,WiFi,1
eda6d171-84ef-4594-a81d-825080548b2a,2025-04-03 10:50:18.714690,10,Thursday,0,1780.27,0.024,P2P,Peer,Bruce Anderson,bruceanderson@oksbi,HDFC Bank,46-60,Rajasthan,Dr. Ryan Perkins,dr.ryanperkins@ybl,Punjab National Bank,Android,5G,0
0de5930e-efdb-468c-9d4d-64fe72497b8a,2025-09-30 12:59:07.256955,12,Tuesday,0,1803.05,0.833,P2P,Peer,Patrick Long,patricklong@upi,HDFC Bank,26-35,Maharashtra,Jonathan Barnes,jonathanbarnes@oksbi,HDFC Bank,iOS,5G,0
c1c3d7bc-0b7b-4ef3-8ece-345b27ef43cd,2025-06-30 11:58:38.634863,11,Monday,0,428.58,0.004,P2P,Peer,Whitney Sellers,whitneysellers@ybl,Axis Bank,26-35,Gujarat,Tyler Bell,tylerbell@ibl,Axis Bank,Android,4G,0
cb97ce83-b17e-4aa7-8f36-2908c6f8b6bd,2025-04-01 12:29:58.890416,12,Tuesday,0,2745.42,0.044,P2M,Food Delivery,Fernando Mann,fernandomann@okaxis,Axis Bank,18-25,Karnataka,Maldonado PLC,maldonadoplc@ybl,State Bank of India,Android,4G,0
57590db0-b96c-4909-983f-9880e874138a,2025-11-06 16:02:15.124999,16,Thursday,0,5453.44,0.114,P2P,Peer,Michael Matthews,michaelmatthews@ibl,ICICI Bank,46-60,Bihar,Mary Miller,marymiller@upi,Bank of Baroda,Android,4G,0
8aaa88b5-cef3-4c8a-ad35-b93c2998df8d,2025-01-17 13:06:30.068907,13,Friday,0,3606.01,0.079,P2P,Peer,Kyle Rogers,kylerogers@okaxis,HDFC Bank,46-60,Uttar Pradesh,Elizabeth Collier,elizabethcollier@oksbi,State Bank of India,Android,5G,0
961d0e66-f7b8-4831-9870-f427772b55cf,2025-10-05 08:01:32.247308,8,Sunday,1,2445.99,0.028,P2M,Grocery,Kevin Strickland,kevinstrickland@oksbi,Bank of Baroda,18-25,Maharashtra,Flowers Group,flowersgroup@ibl,Punjab National Bank,Android,4G,0
